name,effect,price,
Sticky Bandage ,"Heals 10 HP, 1 ally",0.25,1d10
Liquid Medicine,"Heals 30 HP, 1 ally ",1,1d8-1
Takemedic,"Heals 70 HP, 1 ally ",2,1d6
Orb of Life ,"Heals 30% HP, 1 ally",1,1d4-1
Prayer Bead ,"Heals 100% HP, 1 ally ",Special,Special
Takemedic-All,"Heals 30 HP, all allies ",2.5,1d4-1
Takemedic-All V,"Heals 50 HP, all allies",3,1d4-2
Bead Chain,"Heals 100% HP, all allies ",Special,Special
Healing IV,"Heals 50% HP, all allies. Can only be used outside of combat. ",1.5,1d4-1
Revivadrin ,Revives an ally on Death’s Door with 50% HP.,1.25,1d4-2
Life Balm,Revives an ally on Death’s Door with 100% HP.,2.75,1d4-3
Brink Tea,"Revives any number of allies on Death’s Door with 100% HP, but decreases the user’s HP to 0.",2.5,1d4-1
Angel Pastry ,Revives two allies on Death’s Door with 100% HP.,Special,Special
Soul Drop,Recovers 1 use of one spell of your choice.,0.5,1d6
Chakra Crepe,Recovers up to 3 uses of spells on your deck OR recovers 1 Repressed spell on your deck.,1,1d4-2
Yawn-B-gone ,Recover up to 3 Energy.,1,1d4-1
Soul Food ,Fully restores Energy.,Special,Special
Soma,"Heals 100% HP, all spell uses and fully restores Energy, all allies.",Special,Special
Polaroid Camera ,Allows the user to take pictures inside the Metaverse. Includes a roll of film.,1,1d4
Music Box ,Activated by a golden crank. Attracts the attention of Shadows. ,1,1d4
Rasetsu Ofuda ,"+2 STR +2 MAG, all allies, 3 turns ",1,1d4-2
Disposable Vest,"Grants 15 temporary HP to a conscious ally. This HP is added to the current HP of the user, cannot be restored and is spent before natural HP.",1,1d4-1
Mad Bull,Heals 30 HP to 1 ally. Ally suffers the effects of Enraged. Can only be used in combat.,1,1d6-1
Kajaclear-R ,Removes all Buff Type bonuses on target.,0.25,1d4
Kundaclear-R ,Remove all Debuff Type penalties on target.,0.25,1d4
Molotov Cocktail ,"On hit: 30 Fire Damage, 1 target ",0.25,1d6+1
Freezing Spray,"On hit: 30 Ice Damage, 1 target",0.25,1d6+1
Air Blaster ,"On hit: 30 Wind Damage, 1 target",0.25,1d6+1
Stun Gun ,"On hit: 30 Thunder Damage, 1 target ",0.25,1d6+1
Megido Bomb ,"On hit: 50 Almighty Damage, any number of targets",1.5,1d4-1
Goho-M,Returns the party to the entrance of the Palace or to the point where the User accessed the Metaverse.,0.5,1d4-1
Smokescreen ,Avoids detection by hostile units until the end of the Scene.,0.25,1d4-1
Lockpick ,Unlocks a locked door or container ,1.5,1d4
Sphere of Disappearance,"Can only be used during combat. Until the end of combat, consider all Escape rolls as their maximum possible roll.",1,1d4-1
Warding Pendant,The first non-Almighty damage received after using this item is decreased by 50%. This is a Buff effect.,0.5,1d4-1
Challenger’s Flare ,Focuses enemy attacks on user for 3 rounds.,0.25,1d6
Sword of Page,Remove one Combat Bonus from one of your Personae and give it a +1 STR or +1 MAG Bonus. Bonus limitations still apply.,1,1d2
Cup of Knight,Remove one Combat Bonus from one of your Personae and give it a +1 TEC or +1 AGI Bonus. Bonus limitations still apply. ,1,1d2
Coin of Queen,Remove one Combat Bonus from one of your Personae and give it a +1 VIT or +1 LCK Bonus. Bonus limitations still apply. ,1,1d2
Nihil Arm,"A soft, pliable mass that assumes the form and effect of any weapon in the party’s inventory until the end of combat. Activating its shape-shifting effect and equipping the Nihil Arm is considered a Quick Action that automatically unequips other weapons you’re wielding (set its stats on CUSTOM tab, then select it as your weapon). Regenerates into the User’s inventory 1d4+1 days after being used.",Special,Special
Advantage Point AP Rounds,"If you hit a target with a single-target spell or attack, you can choose the unit acting immediately before you in the initiative queue: Starting the next round, move your position in the iniative queue so you act immediately before that unit.",4,N/A
Runed Engraving,"Use SKL instead of STR for attacks. Your SKL ignores Buff effects, but not Debuff effects. You cannot deal Critical Hits under the effects of this Coating. ",5,N/A
Blood Tinge ,"Damage caused by your attacks cannot be healed. This extends to damage caused by Poison, if Poison was inflicted by your Physical attacks. ",3,N/A
Gold Plating ,"On hit, you may choose to spend X RP to add Xd4 damage of the same Type of the original attack. ",1,N/A
Plasma Cartridges,"If you miss an attack, you still deal SKL damage, and can pay 1 Aspect Point to apply secondary effects as if you had hit the target. ",4,N/A
Anti-Spell Grease,"On hit: Target suffers a penalty to their MAG equal to half your STR, rounded down (Minimum 1). This is considered a Debuff effect and lasts for 3 rounds.",4,N/A
Light Foam,"Decrease the damage dice category of Physical attacks you declare by 1. (Example: If an attack deals STRd6 damage, it now deals STRd4, etc.), but all Physical attacks you declare gain +2 HDC.",3,N/A
Exotic Toxin,"This Coating lasts 7 days, instead of the usual 1. On hit: If you hit a Non-Ultimate, Non-Tyrant Shadow, roll 1d100. On rolling a 1, that target is instantly slain and this Coating is removed from your inventory. This is considered an Almighty Death Category effect.",3,N/A
