Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
Pixie,1,Lovers,"Thunder, Heal",,,,Thunder,,,,Dark,Shadow,,Sneaky – Grants +1d4 to stealth and hiding checks.,"Ha Zio: Up to 2 targets within 7 meters are struck by electric bolts. On hit: 3d4 (7) Thunder damage and 8% Shocked chance.
Dia: 1 target within 10 meters recovers 3d6+5 (15) HP",Resist Stun (P): Pixie has half the specified chance to suffer the effects of Stunned.,"Flirty, Snobbish",Dia (T1 Heal),1,3,3,5,3,4,C-164,FALSE
Agathion,1,Chariot,"Physical, Buff",,,,Physical,Thunder,,,"Wind, PSY",Shadow,,"Nagging – You may spend 1 Luck Charge to grant -1d6 to any check of any target you can see, once per check, as your Interrupt action.","Skull Cracker: A Physical strike that deals 4d6 (13) damage on hit.
Tarukaja: One target within 10 meters gains +1 STR, +1 MAG for three turns.",,Childish,Skull Cracker (T1 Physical),4,1,3,3,4,6,C-165,FALSE
Card Soldier,1,--,,,,,,,,,,Minion,,"Safeguard – Whenever Queen of Hearts would take damage from a spell or basic attack, Card Soldier can use its Interrupt action to change the target from Queen of Hearts from itself. This can happen even if the Card Soldier was also targeted for this attack. ","Disarming Order: One target within 6 meters suffers -1 STR, -1 MAG for 3 rounds (Debuff) 
Poke: One target within 5 meters. On hit: 2d4 (5) Physical damage. ",,,,2,2,4,1,2,2,SSV-37,FALSE
Cu Sith,1,Sun,"Wind, Status",,,,Wind,,,,Fire,Shadow,,"Ushered Arrival – Grants +1 STR, +1 MAG for 3 turns, starting at the fourth round of combat (not a Buff).","Garu: 1 target within 8 meters. HDC+1. On hit: 4d6 (14) Wind damage.
Pulinpa: 1 target Cu Sith can see has a 55% chance to suffer from Panicked.",,"Friendly, Childish",Garu (T1 Wind),1,4,4,5,3,2,C-166,FALSE
Izanagi,1,World,"Physical, Thunder",,,Dark,Thunder,,,,Wind,Icon,,"Nation of Gods (Physical, Thunder) – Basic attacks you declare deal +1 Thunder damage for each Persona in your stock. This damage is dealt even if the attack misses. ","Cross Slash: One target within 4 meters. HDC +1. On hit: 4d4 (10) Physical damage, plus 1 Thunder damage for each Shadow present in combat. This replaces Izanagi's basic attack. 
Raikouzan: One target within 4 meters. On hit: 4d4 (10) Thunder damage, and deals half the rolled damage to all units adjacent to the target. ",,Noble,Zio (T1 Thunder),4,1,4,4,4,2,SSV-15,FALSE
Izanagi Picaro,1,World,"Physical, Thunder",,,"Dark, Thunder",,,,,Wind,Shadow,,"God Maker – [Passive] Whenever a Persona in your stock without God Maker gains a Persona Level, grant one Persona with God Maker in your stock one Persona Level. This cannot be activated by any of an Uninvited User’s Starter Personae ","Myriad Slash: One target within 4 meters. HDC +1. On hit: 4d4 (10) Physical damage, and Izanagi Picaro gains one Mist Counter. This replaces Izanagi Picaro's basic attack. 
Raikouzan: One target within 4 meters. On hit: 4d4 (10) Thunder damage, and deals half the rolled damage to all units adjacent to the target. ","Rebellious Edge (P): When Izanagi Picaro casts a spell, it can spend 1 Mist Counter: That spell is treated as a Free action. ",Noble,Zio (T1 Thunder),4,1,4,4,4,2,SSVIII-19,FALSE
Kamiotoko,1,Devil,Almighty,,,,Dark,,,,Light,Rumor,,"Love Bites – As a quick action. you can choose an adjacent ally: With their consent, you can deal STRd2 Almighty damage to them and apply the same Buff effects you are under to that ally, for the same remaining duration. ","Hickey: One target Kamiotoko can see. Deals 1d4 Almighty damage, no check. 
Power of Rumors: As a free action, Kamiotoko can summon another Kamiotoko into combat in a position adjacent to itself. This summoned unit has the same initiative score as Kamiotoko, each Kamiotoko can only use this spell once and two Kamiotoko cannot cast this spell in the same round. ","Shapeless (P): This Shadow cannot be targeted for attacks or spells and is immune to effects that designate “adjacent targets” and “all targets within x meters”. If there are no Shadows other than Kamiotoko in combat, all Kamiotoko are automatically slain. Kamiotoko only reward 10 Experience points each. ",Flirty,Ha Astra (T1 Almighty) ,1,5,6,4,1,2,SSII-9,FALSE
Senri,1,Empress,"Fire, Heal",,,Fire,,,,,Thunder,Shadow,,Bewitching Charm – You recover up to 2 Energy each time you spend a Time block with a Confidant.,"Ha Agi: Up to 3 targets within 7 meters. On hit: 4d4+6 (16/20) Fire damage.
Soma: 1 adjacent target is healed from all Status effects, except Knockdown. ",Fire Link (P): All Fire spells cast by Senri or an adjacent ally deal 25% more damage.,Flirty,Ha Agi (T1 Fire),1,4,2,5,5,2,C-167,FALSE
Nigi Mitama,1,Temperance,"Light, Heal",,,Nuclear,"Light, Dark",,,,Thunder,Shadow,,Gentle Mitama – Donate X RP to a temple or charity institution to gain 2X Empathy Tier for all checks until the end of the day.,"Mahama: Any number of targets lose 15% of their current HP as Light damage.
Media: Nigi Mitama and all its allies recover 4d4 (10) HP",,"Noble, Friendly","Media (T1 Heal)",1,4,5,4,2,4,C-168,FALSE
Kodama,1,Star,"Wind, Status, Debuff",,,,"Ice, PSY",,,,Fire,Shadow,,Centennial Tree – Hitting the wielder of this skill with a basic attack or Physical spell refreshes the duration of all Debuff effects currently active on the attacker to 3 turns.,"Summon: Kodama sacrifices half its current HP to add another Kodama to the battle whose HP is equal to the HP sacrificed to cast this spell.
Debilitating Echo: Up to 2 targets within 6 meters. On hit: 3d4 (7) Wind damage and 50% Slowed chance.",,"Friendly, Insane",Tarunda (T1 Debuff),1,3,5,4,4,2,C-166,FALSE
