name,effect,Requirements,Additional
Open Mind,"Gain an extra use of a spell of your choice, up to Tier III, from the spell deck of any of your Personae.",,
Long Way to Go,+2 Energy,,
Skilled ,Increase one Combat Skill by one point or increase one Social Skill by three points.,,
Reflection ,You can rewrite one of your character’s Aspects,,
Emergency Funds,"Once a week, you can pay one Aspect Point to gain 1 extra Resource Point that disappears if it’s not used until the end of the session. Each time you acquire this Feat after the first time, increase RP gained by this Feat by 0.5",,Character must have at least Tier I of the Social Skill that governs their profession. 
Furious,"You can, as a Quick action, receive the effects of Enraged. You cannot naturally recover from or be healed of Enraged until the end of your next turn.",,Can only be chosen once.
Selfless Support,"As a Default action, you can sacrifice up to 50% of your maximum HP to restore an ally’s HP by the sacrificed amount, as long as the target has 0 or more HP.",,Each extra rank of this Feat increases the amount of HP you can sacrifice by 10%
One in Spirit,"Once per round, if you hit a target's Weakness or succeed in rolling a Critical Hit, you can switch Personae as a free action.",,Can only be chosen once.
Powerful Aspect,Each rank increases the amount of Aspect Points you receive in the start of every session by 1. ,,
Explorer,"Consider your Discipline Tier as 2 higher to search, track or loot in the Metaverse; the Narrator will treat your character as constantly looking for secrets. You can re-roll any check related to searching for items or devices, once per check.",,Can only be chosen once.
Sharp Mind,You’re always aware of your location in relation to places you know; you always have a somewhat accurate estimation of time and you can remember any event you’ve witnessed in the last seven days.,,Can only be chosen once.
Merciless,"Once per combat, you can choose to re-roll to hit one attack you declared this turn",,Can only be chosen once.
Sentinel,"When an enemy within range of your equipped weapon declares an attack against one target other than you, you can spend your Interrupt action to declare a basic attack against that target: This attack deals no damage, but if you hit, the enemy’s attack targets you instead.",,Can only be chosen once.
Sword Mastery,"With a Sword weapon equipped, you gain +1 DDC against Physical Type attacks declared against you.",,Can only be chosen once.
Glove Mastery,"With a Glove weapon equipped, increase your Damage Reduction by your TEC/2 score.",,Can only be chosen once.
Polearm Mastery,"When an enemy enters the range of your equipped Polearm, you can use an Interrupt action to declare a basic attack against that unit.",,Can only be chosen once.
Whip Mastery,"Every basic attack you declare with a Whip that hits the target has a 25% chance to cause Panicked on the target, but this Staus is removed at the end of the target’s turn.",,Can only be chosen once.
Bow Mastery,"When declaring a basic attack with a bow, you can roll 1d6. If the result is equal to the distance between you and the target, deal MAG extra damage. This damage, and extra effects, are applied even if the attack misses.",,Can only be chosen once.
